,position,specialization
638,стажерская программа: академия стальных возможностей. it направления,0
639,стажерская программа: академия стальных возможностей. it направления,10
640,стажерская программа: академия стальных возможностей. бизнес направления,6
641,стажерская программа: академия стальных возможностей. бизнес направления,8
642,стажерская программа: академия стальных возможностей. бизнес направления,5
643,стажерская программа: академия стальных возможностей. бизнес направления,13
644,graduate programme 2021,0
645,стажировка в департаменте налогов и права,4
646,стажер future leaders program,16
647,стажер в crm-команду сбермаркет,6
648,стажер направления по развитию цифровых технологий,0
649,стажер в отдел маркетинга сбермаркет,6
650,стажер в группу консультирования по вопросам заработной платы,11
651,стажер в группу подбора персонала,11
652,стажер в отдел обучения и развития персонала,11
653,стажер в группу оказания услуг частным клиентам,11
654,младший специалист в группу управления делами,11
655,"intern in internal audit, risk and compliance",11
656,стажировка в qa в работу.ру,0
657,mars internship experience program (отдел маркетинга),6
658,fullstack-разработчик,0
659,стажер-разработчик в группу улучшения бизнес-технологий и it (frontend),0
660,аналитик bi (mis),0
661,начинающий специалист аудита в банковском секторе,11
662,стажер группы управления финансами и казначейством,4
663,бухгалтер по управлению дебиторской задолженностью,4
664,стажер data scientist в группу улучшения бизнес-технологий и ит,0
665,"стажер в группу актуарных расчетов, аудит",11
666,стажер в группу оказания услуг организациям финансового сектора,4
667,pe solution sales engagement internship,4
668,"intern, it advisory, it audit",0
669,ведущий эксперт отдела исследований и моделирования. казначейство,4
670,аналитик партнерств и международного бизнеса,4
671,support engineer,0
672,support engineer,0
673,стажер в отдел финансового контроллинга,4
674,специалист по управлению категориями (food),4
675,ассистент отдела маркетинга,6
676,стажер в финансовую дирекцию,4
677,стажер (it-рекрутмент),0
678,стажер в отдел маркетинга,6
679,тестировщик,6
680,fullstack developer,0
681,java-разработчик,0
682,brand manager,6
683,младший консультант it-поддержки товародвижения,0
684,системный аналитик,0
685,стажер (аудит it-процессов),0
686,trade marketing intern,6
687,full stack software engineer,0
688,finance intern,4
689,marketing intern,6
690,"intern, financial risk management group (modelling)",4
691,"data science intern, deal advisory, data & solutions team",0
692,стажер в it-отделе,0
693,стажер в отдел бухгалтерии,4
694,аналитик,0
695,стажер it-департамента (разработчик),0
696,стажер it-департамента (разработчик),0
697,стажер it-департамента (аналитик),0
698,стажер it-департамента (аналитик),0
699,начинающий специалист аудита,11
700,инженер,0
701,data scientist в группу аналитики розничного бизнеса,0
702,data engineer в команду валидации моделей,0
703,старший аналитик данных в команду моделирования (розничные риски),4
704,стажер в группу финансового риск-менеджмента,4
705,разработчик java,0
706,финансовый аналитик по выручке,4
707,финансовый аналитик в отдел поддержки маркетинга,4
708,бухгалтер по управлению кредитными рисками,4
709,начинающий специалист / стажер группы управления строительными проектами,11
710,ассистент аудитора,11
711,младший аналитик по управлению риском ликвидности,0
712,инженер-разработчик pl/sql,0
713,data scientist (коммерческое направление),0
714,разработчик ios,0
715,backend-разработчик,0
716,стажер в группу по оказанию услуг в области внутреннего аудита и рисков,11
717,стажер data scientist в группу улучшения бизнес-технологии и it,0
718,стажер в департамент аудита финансового сектора,11
719,стажировка в отделе финансов,4
720,стажировки в it,0
721,стажировка в команде sap,0
722,"intern, financial services advisory",4
723,стажер в направлении it,4
724,стажер в направлении риски,4
725,стажер в направлении финансовые рынки и операционная деятельность,4
726,стажер,4
727,"junior consultant, financial services advisory",4
728,ведущий эксперт по стратегии,4
729,frontend-разработчик тест,0
730,frontend-разработчик тест,0
731,стажер в группу по предоставлению услуг в области бизнес-рисков для организаций финансового сектора,4
732,аналитик отдела продаж,17
733,аналитик отдела продаж,17
734,аналитик отдела продаж,17
735,web-программист,18
736,web-программист,19
737,junior android developer,20
738,junior android developer,18
739,junior android developer,21
740,junior android developer,22
741,консультант 1с (регламентированный и управленческий учет),23
742,консультант 1с (регламентированный и управленческий учет),24
743,консультант 1с (регламентированный и управленческий учет),17
744,интернет-маркетолог,25
745,интернет-маркетолог,26
746,интернет-маркетолог,27
747,интернет-маркетолог,28
748,интернет-маркетолог,6
749,php-разработчик,18
750,php-разработчик,29
751,php-разработчик,19
752,аккаунт-менеджер,30
753,аккаунт-менеджер,31
754,аккаунт-менеджер,32
755,аккаунт-менеджер,7
756,аккаунт-менеджер,22
757,frontend разработчик (frontend developer),18
758,frontend разработчик (frontend developer),33
759,frontend разработчик (frontend developer),34
760,frontend разработчик (frontend developer),35
761,html-верстальщик,36
762,html-верстальщик,37
763,html-верстальщик,38
764,html-верстальщик,19
765,html-верстальщик,39
766,инженер / конструктор (оборудование узи),18
767,инженер / конструктор (оборудование узи),33
768,инженер / конструктор (оборудование узи),40
769,инженер / конструктор (оборудование узи),41
770,инженер / конструктор (оборудование узи),42
771,abap разработчик,18
772,abap разработчик,24
773,abap разработчик,33
774,abap разработчик,43
775,помощник seo-оптимизатора,44
776,помощник seo-оптимизатора,28
777,помощник seo-оптимизатора,29
778,помощник seo-оптимизатора,45
779,помощник seo-оптимизатора,6
780,помощник seo-оптимизатора,19
781,senior .net developer,18
782,senior .net developer,33
783,дизайнер (сайтов и интерфейсов),37
784,дизайнер (сайтов и интерфейсов),27
785,дизайнер (сайтов и интерфейсов),29
786,программист-разработчик,18
787,программист-разработчик,33
788,менеджер по продажам,46
789,менеджер по продажам,31
790,менеджер по продажам,7
791,менеджер по продажам,43
792,менеджер по продажам,27
793,программист php ( веб ),18
794,программист php ( веб ),29
795,программист php ( веб ),45
796,программист php ( веб ),19
797,инженер по защите информации,33
798,"ceo/генеральный директор проекта (майнинг криптовалют, blockchain)",47
799,"ceo/генеральный директор проекта (майнинг криптовалют, blockchain)",48
800,"ceo/генеральный директор проекта (майнинг криптовалют, blockchain)",49
801,"ceo/генеральный директор проекта (майнинг криптовалют, blockchain)",43
802,"ceo/генеральный директор проекта (майнинг криптовалют, blockchain)",34
803,специалист по поддержке базиса 1с,23
804,специалист по поддержке базиса 1с,18
805,специалист по поддержке базиса 1с,24
806,специалист по поддержке базиса 1с,50
807,php программист / web мастер,44
808,php программист / web мастер,18
809,php программист / web мастер,28
810,php программист / web мастер,45
811,php программист / web мастер,19
812,php программист / web мастер,39
813,"инженер-программист (computer vision, machine learning).",18
814,analytics engineer,18
815,html / javascript / front-end разработчик,18
816,html / javascript / front-end разработчик,29
817,html / javascript / front-end разработчик,45
818,html / javascript / front-end разработчик,19
819,инженер-программист группы технической поддержки,51
820,инженер-программист группы технической поддержки,18
821,инженер-программист группы технической поддержки,33
822,инженер-программист группы технической поддержки,50
823,инженер-программист группы технической поддержки,22
824,seo-специалист,28
825,seo-специалист,26
826,программист frontend,18
827,программист frontend,24
828,программист frontend,1
829,программист frontend,52
830,программист frontend,35
831,computer vision developer,18
832,computer vision developer,33
833,computer vision developer,53
834,руководитель направления (розничный канал продаж) телеком,7
835,руководитель направления (розничный канал продаж) телеком,22
836,ассистент руководителя,44
837,ассистент руководителя,50
838,ассистент руководителя,39
839,ассистент руководителя,54
840,ассистент руководителя,55
841,ассистент руководителя,56
842,big data engineer,18
843,big data engineer,33
844,big data engineer,29
845,менеджер по работе с клиентами,57
846,менеджер по работе с клиентами,58
847,менеджер по работе с клиентами,59
848,менеджер по работе с клиентами,31
849,менеджер по работе с клиентами,7
850,менеджер по работе с клиентами,60
851,аналитик /бизнес-аналитик,61
852,аналитик /бизнес-аналитик,17
853,full stack javascript developer,18
854,php программист на 1c-битрикс,18
855,php программист на 1c-битрикс,38
856,php программист на 1c-битрикс,28
857,php программист на 1c-битрикс,24
858,php программист на 1c-битрикс,17
859,php программист на 1c-битрикс,19
860,qa engineer,18
861,qa engineer,33
862,qa engineer,1
863,qa engineer,29
864,qa engineer,19
865,фронтенд разработчик,18
866,системный администратор,57
867,системный администратор,62
868,системный администратор,63
869,системный администратор,60
870,системный администратор,33
871,стажер в отдел контекстной рекламы,44
872,стажер в отдел контекстной рекламы,25
873,стажер в отдел контекстной рекламы,64
874,стажер в отдел контекстной рекламы,26
875,стажер в отдел контекстной рекламы,17
876,стажер в отдел контекстной рекламы,44
877,креативный менеджер,65
878,креативный менеджер,43
879,креативный менеджер,6
880,креативный менеджер,66
881,креативный менеджер,67
882,креативный менеджер,43
883,"веб-программист / веб-разработчик (frontend, php)",18
884,"веб-программист / веб-разработчик (frontend, php)",28
885,"веб-программист / веб-разработчик (frontend, php)",29
886,"веб-программист / веб-разработчик (frontend, php)",19
887,мастер-инженер по ремонту техники apple и android,57
888,мастер-инженер по ремонту техники apple и android,68
889,мастер-инженер по ремонту техники apple и android,69
890,мастер-инженер по ремонту техники apple и android,70
891,мастер-инженер по ремонту техники apple и android,33
892,дизайнер интерфейсов (ux/iu),18
893,дизайнер интерфейсов (ux/iu),29
894,дизайнер интерфейсов (ux/iu),45
895,дизайнер интерфейсов (ux/iu),19
896,дизайнер интерфейсов (ux/iu),37
897,дизайнер интерфейсов (ux/iu),27
898,менеджер проектов,71
899,менеджер проектов,43
900,менеджер проектов,43
901,менеджер проектов,17
902,front end developer,18
903,программист 1с,18
904,программист 1с,24
905,монтажник связи,72
906,монтажник связи,45
907,инженер департамента технического обслуживания систем безопасности,57
908,инженер департамента технического обслуживания систем безопасности,73
909,инженер департамента технического обслуживания систем безопасности,74
910,инженер департамента технического обслуживания систем безопасности,75
911,инженер департамента технического обслуживания систем безопасности,38
912,инженер департамента технического обслуживания систем безопасности,60
913,full-stack web developer (javascript),51
914,full-stack web developer (javascript),18
915,full-stack web developer (javascript),29
916,full-stack web developer (javascript),45
917,php-программист 1c-битрикс,18
918,php-программист 1c-битрикс,29
919,php-программист 1c-битрикс,19
920,специалист по обучению пользователей в сфере it (по липецкой области),57
921,специалист по обучению пользователей в сфере it (по липецкой области),63
922,специалист по обучению пользователей в сфере it (по липецкой области),60
923,специалист по обучению пользователей в сфере it (по липецкой области),33
924,специалист по доставке и настройке оборудования,44
925,менеджер по активным продажам,59
926,менеджер по активным продажам,76
927,менеджер по активным продажам,31
928,менеджер по активным продажам,77
929,менеджер по активным продажам,38
930,менеджер по активным продажам,7
931,программист java (череповец),18
932,2d-аниматор (студия it-territory),20
933,2d-аниматор (студия it-territory),13
934,2d-аниматор (студия it-territory),45
935,консультант по разработке государственных программ,11
936,консультант по разработке государственных программ,78
937,консультант по разработке государственных программ,71
938,консультант по разработке государственных программ,79
939,разработчик программного обеспечения,18
940,разработчик программного обеспечения,33
941,контент-менеджер в интернет-магазин,80
942,контент-менеджер в интернет-магазин,81
943,контент-менеджер в интернет-магазин,13
944,контент-менеджер в интернет-магазин,43
945,контент-менеджер в интернет-магазин,34
946,контент-менеджер в интернет-магазин,6
947,программист 1c (сеть автомагазинов и автосервисов гиперавто),18
948,программист 1c (сеть автомагазинов и автосервисов гиперавто),38
949,программист 1c (сеть автомагазинов и автосервисов гиперавто),24
950,программист 1c (сеть автомагазинов и автосервисов гиперавто),33
951,программист 1c (сеть автомагазинов и автосервисов гиперавто),35
952,front-end developer,18
953,front-end developer,1
954,технический писатель,82
955,технический писатель,83
956,технический писатель,84
957,технический писатель,85
958,технический писатель,52
959,сотрудник службы технической поддержки,50
960,front-end/back-end разработчик,18
961,front-end/back-end разработчик,28
962,front-end/back-end разработчик,35
963,front-end/back-end разработчик,45
964,front-end/back-end разработчик,19
965,team leader (php developer),18
966,team leader (php developer),43
967,team leader (php developer),29
968,инженер по связи,22
969,инженер по связи,86
970,"водитель-электромеханик (категории в, с)",87
971,"водитель-электромеханик (категории в, с)",88
972,"водитель-электромеханик (категории в, с)",89
973,"водитель-электромеханик (категории в, с)",72
974,"водитель-электромеханик (категории в, с)",90
975,"водитель-электромеханик (категории в, с)",22
976,контент-менеджер (копирайтер),38
977,контент-менеджер (копирайтер),28
978,контент-менеджер (копирайтер),13
979,контент-менеджер (копирайтер),91
980,контент-менеджер (копирайтер),35
981,контент-менеджер (копирайтер),45
982,техник-конструктор (бюро конструкторской документации),92
983,техник-конструктор (бюро конструкторской документации),82
984,техник-конструктор (бюро конструкторской документации),84
985,техник-конструктор (бюро конструкторской документации),33
986,rust разработчик (санкт-петербург),18
987,html-верстальщик,93
988,html-верстальщик,18
989,html-верстальщик,24
990,ведущий системный инженер (направление windows),94
991,ведущий системный инженер (направление windows),38
992,ведущий системный инженер (направление windows),60
993,ведущий системный инженер (направление windows),33
994,ведущий системный инженер (направление windows),22
995,ведущий системный инженер (направление windows),35
996,"веб-программист (php: yii, bitrix)",18
997,"веб-программист (php: yii, bitrix)",33
998,"веб-программист (php: yii, bitrix)",29
999,"веб-программист (php: yii, bitrix)",19
1000,team lead java,18
1001,team lead java,33
1002,javascript разработчик,18
1003,seo specialist,28
1004,seo specialist,26
1005,key account manager,31
1006,key account manager,31
1007,key account manager,43
1008,key account manager,6
1009,ios-программист,18
1010,"программист, разработчик; программист 1с, администратор 1с",44
1011,"программист, разработчик; программист 1с, администратор 1с",18
1012,"программист, разработчик; программист 1с, администратор 1с",38
1013,"программист, разработчик; программист 1с, администратор 1с",33
1014,"программист, разработчик; программист 1с, администратор 1с",35
1015,специалист технической поддержки,44
1016,специалист технической поддержки,50
1017,специалист технической поддержки,22
1018,специалист технической поддержки,45
1019,офис-менеджер,22
1020,html-верстальщик/front-end разработчик,29
1021,специалист службы поддержки клиентов (отдел финансового мониторинга),44
1022,специалист службы поддержки клиентов (отдел финансового мониторинга),50
1023,специалист службы поддержки клиентов (отдел финансового мониторинга),95
1024,специалист службы поддержки клиентов (отдел финансового мониторинга),44
1025,специалист службы поддержки клиентов (отдел финансового мониторинга),96
1026,специалист службы поддержки клиентов (отдел финансового мониторинга),97
1027,веб-дизайнер,18
1028,веб-дизайнер,29
1029,веб-дизайнер,45
1030,веб-дизайнер,19
1031,веб-дизайнер,37
1032,веб-дизайнер,27
1033,системный аналитик,18
1034,системный аналитик,38
1035,системный аналитик,52
1036,менеджер продуктов для магазинов в маркет,49
1037,менеджер продуктов для магазинов в маркет,43
1038,менеджер продуктов для магазинов в маркет,34
1039,менеджер продуктов для магазинов в маркет,35
1040,менеджер продуктов для магазинов в маркет,45
1041,unity3d developer,20
1042,unity3d developer,18
1043,unity3d developer,33
1044,unity3d developer,39
1045,seo-стажер,93
1046,seo-стажер,28
1047,seo-стажер,26
1048,junior пр‎ограммист в офис,44
1049,junior пр‎ограммист в офис,18
1050,php-разработчик,18
1051,php-разработчик,29
1052,php-разработчик,19
1053,программист с#,18
1054,программист с#,47
1055,программист с#,1
1056,программист с#,43
1057,технический специалист нси (нормативно-справочной информации),82
1058,технический специалист нси (нормативно-справочной информации),86
1059,технический специалист нси (нормативно-справочной информации),98
1060,технический специалист нси (нормативно-справочной информации),99
1061,технический специалист нси (нормативно-справочной информации),91
1062,senior web developer,18
1063,ведущий специалист по рассмотрению обращений,60
1064,ведущий специалист по рассмотрению обращений,50
1065,ведущий специалист по рассмотрению обращений,22
1066,qa automation engineer,1
1067,qa automation engineer,29
1068,программист 1с,18
1069,программист 1с,23
1070,программист 1с,18
1071,программист 1с,24
1072,специалист по обслуживанию банковских терминалов,51
1073,специалист по обслуживанию банковских терминалов,38
1074,специалист по обслуживанию банковских терминалов,1
1075,javascript разработчик,18
1076,архитектор aris (эксперт),18
1077,архитектор aris (эксперт),24
1078,архитектор aris (эксперт),100
1079,архитектор aris (эксперт),17
1080,специалист по интернет-маркетингу,28
1081,специалист по интернет-маркетингу,13
1082,специалист по интернет-маркетингу,43
1083,специалист по интернет-маркетингу,29
1084,специалист по интернет-маркетингу,6
1085,специалист по интернет-маркетингу,19
1086,помощник технического директора / администратор сайтов / разработчик,18
1087,помощник технического директора / администратор сайтов / разработчик,28
1088,помощник технического директора / администратор сайтов / разработчик,1
1089,помощник технического директора / администратор сайтов / разработчик,37
1090,менеджер,93
1091,менеджер,56
1092,менеджер,7
1093,менеджер,60
1094,менеджер,44
1095,специалист отдела сохранения клиентов,44
1096,специалист отдела сохранения клиентов,50
1097,специалист отдела сохранения клиентов,45
1098,специалист отдела сохранения клиентов,101
1099,руководитель проекта erp ( it - направление),24
1100,руководитель проекта erp ( it - направление),17
1101,программист 1с,18
1102,руководитель it проектов,23
1103,руководитель it проектов,43
1104,руководитель it проектов,43
1105,руководитель отдела продаж,30
1106,руководитель отдела продаж,102
1107,руководитель отдела продаж,103
1108,руководитель отдела продаж,7
1109,руководитель отдела продаж,22
1110,руководитель отдела продаж,43
1111,senior backend developer (vimbox),18
1112,web-программист/php-программист,18
1113,web-программист/php-программист,33
1114,web-программист/php-программист,29
1115,web-программист/php-программист,19
1116,chief information officer/cio,18
1117,chief information officer/cio,48
1118,chief information officer/cio,49
1119,chief information officer/cio,43
1120,с++ developer,18
1121,technical support engineer,51
1122,technical support engineer,60
1123,technical support engineer,50
1124,technical support engineer,91
1125,ios/android разработчик,18
1126,junior python разработчик,18
1127,инженер-программист с++,18
1128,инженер-программист с++,47
1129,ведущий аналитик по 1с:документооборот,18
1130,ведущий аналитик по 1с:документооборот,38
1131,ведущий аналитик по 1с:документооборот,24
1132,ведущий аналитик по 1с:документооборот,100
1133,ведущий аналитик по 1с:документооборот,1
1134,ведущий аналитик по 1с:документооборот,43
1135,интернет-маркетолог,25
1136,интернет-маркетолог,26
1137,интернет-маркетолог,27
1138,интернет-маркетолог,28
1139,интернет-маркетолог,49
1140,интернет-маркетолог,6
1141,руководитель проектов,23
1142,руководитель проектов,43
1143,руководитель проектов,43
1144,региональный менеджер по продаже crm систем,18
1145,региональный менеджер по продаже crm систем,7
1146,региональный менеджер по продаже crm систем,60
1147,региональный менеджер по продаже crm систем,50
1148,региональный менеджер по продаже crm систем,91
1149,региональный менеджер по продаже crm систем,35
1150,ios developer,18
1151,html-верстальщик,36
1152,html-верстальщик,37
1153,html-верстальщик,38
1154,html-верстальщик,19
1155,html-верстальщик,39
1156,с++ developer,18
1157,веб-программист (b⁢ack-end/front-end),18
1158,веб-программист (b⁢ack-end/front-end),29
1159,веб-программист (b⁢ack-end/front-end),19
1160,lead qa automation engineer,1
1161,seo оптимизатор/ аналитик,28
1162,старший системный администратор,60
1163,руководитель фитнес-проектов и клубов,7
1164,руководитель фитнес-проектов и клубов,104
1165,руководитель фитнес-проектов и клубов,46
1166,руководитель фитнес-проектов и клубов,103
1167,руководитель фитнес-проектов и клубов,79
1168,руководитель фитнес-проектов и клубов,7
1169,ведущий инженер сети интернет,22
1170,системный администратор,63
1171,системный администратор,60
1172,системный администратор,45
1173,senior php developer / ведущий php разработчик,18
1174,senior php developer / ведущий php разработчик,29
1175,senior php developer / ведущий php разработчик,45
1176,senior php developer / ведущий php разработчик,19
1177,руководитель интернет-магазина,105
1178,руководитель интернет-магазина,43
1179,руководитель интернет-магазина,34
1180,руководитель интернет-магазина,45
1181,руководитель интернет-магазина,6
1182,руководитель интернет-магазина,27
1183,менеджер по работе с корпоративными клиентами,18
1184,менеджер по работе с корпоративными клиентами,7
1185,менеджер по работе с корпоративными клиентами,24
1186,менеджер по работе с корпоративными клиентами,100
1187,интернет - рекламщик. бесплатное обучение,44
1188,интернет - рекламщик. бесплатное обучение,67
1189,интернет - рекламщик. бесплатное обучение,44
1190,интернет - рекламщик. бесплатное обучение,45
1191,интернет - рекламщик. бесплатное обучение,39
1192,интернет - рекламщик. бесплатное обучение,93
1193,ит-специалист по развитию комплексной оценки,44
1194,ит-специалист по развитию комплексной оценки,18
1195,ит-специалист по развитию комплексной оценки,100
1196,ит-специалист по развитию комплексной оценки,35
1197,веб-дизайнер (it-специалист),18
1198,веб-дизайнер (it-специалист),45
1199,веб-дизайнер (it-специалист),19
1200,веб-дизайнер (it-специалист),37
1201,ведущий специалист отдела противодействия мошенничеству (пластиковые карты),51
1202,ведущий специалист отдела противодействия мошенничеству (пластиковые карты),47
1203,ведущий специалист отдела противодействия мошенничеству (пластиковые карты),34
1204,ведущий специалист отдела противодействия мошенничеству (пластиковые карты),106
1205,ведущий специалист отдела противодействия мошенничеству (пластиковые карты),107
1206,ведущий специалист отдела противодействия мошенничеству (пластиковые карты),108
1207,менеджер по продажам со знанием китайского языка,18
1208,менеджер по продажам со знанием китайского языка,7
1209,менеджер по продажам со знанием китайского языка,59
1210,менеджер по продажам со знанием китайского языка,102
1211,менеджер по продажам со знанием китайского языка,32
1212,qa engineer,1
1213,инженер технической поддержки,44
1214,инженер технической поддержки,60
1215,инженер технической поддержки,33
1216,инженер технической поддержки,50
1217,инженер технической поддержки,57
1218,системный аналитик,18
1219,монтажник охранно-пожарной сигнализации,33
1220,монтажник охранно-пожарной сигнализации,72
1221,программист-стажер 1c,44
1222,программист-стажер 1c,18
1223,программист-стажер 1c,38
1224,программист-стажер 1c,24
1225,программист-стажер 1c,33
1226,программист-стажер 1c,35
1227,java-разработчик,18
1228,java-разработчик,33
1229,lead functional/business analyst,51
1230,lead functional/business analyst,18
1231,lead functional/business analyst,33
1232,lead functional/business analyst,43
1233,lead functional/business analyst,17
1234,стажер-разработчик php,44
1235,стажер-разработчик php,18
1236,стажер-разработчик php,29
1237,стажер-разработчик php,19
1238,стажер-разработчик php,93
1239,web-программист,18
1240,web-программист,33
1241,web-программист,29
1242,web-программист,19
1243,программист 1с c#,18
1244,программист 1с c#,24
1245,маркетинг и бизнес аналитик,34
1246,маркетинг и бизнес аналитик,6
1247,маркетинг и бизнес аналитик,17
1248,курьер- монтёр,94
1249,курьер- монтёр,44
1250,курьер- монтёр,21
1251,курьер- монтёр,93
1252,курьер- монтёр,62
1253,курьер- монтёр,72
1254,devops engineer,51
1255,devops engineer,18
1256,devops engineer,47
1257,devops engineer,91
1258,devops engineer,29
1259,devops engineer,19
1260,контент-менеджер,28
1261,контент-менеджер,13
1262,програміст,94
1263,програміст,63
1264,програміст,22
1265,програміст,29
1266,програміст,45
1267,менеджер по оптовым продажам,30
1268,менеджер по оптовым продажам,109
1269,менеджер по оптовым продажам,58
1270,менеджер по оптовым продажам,38
1271,менеджер по оптовым продажам,7
1272,менеджер по оптовым продажам,22
1273,it specialist / ит специалист,44
1274,it specialist / ит специалист,63
1275,it specialist / ит специалист,60
1276,it specialist / ит специалист,50
1277,it specialist / ит специалист,22
1278,it specialist / ит специалист,110
1279,менеджер проектов (web app),18
1280,менеджер проектов (web app),43
1281,engineer devops /internal tech support,60
1282,engineer devops /internal tech support,33
1283,engineer devops /internal tech support,91
1284,it-специалист,18
1285,it-специалист,47
1286,it-специалист,63
1287,it-специалист,60
1288,it-специалист,50
1289,преподаватель по android,18
1290,программист c/с++,20
1291,программист c/с++,18
1292,senior ios developer for image processing application,18
1293,верстальщик,18
1294,верстальщик,29
1295,верстальщик,45
1296,верстальщик,19
1297,seo-специалист,28
1298,seo-специалист,17
1299,seo-специалист,45
1300,seo-специалист,6
1301,seo-специалист,27
1302,back-end team lead (php),18
1303,back-end team lead (php),43
1304,программист 1c,18
1305,программист 1c,38
1306,программист 1c,24
1307,программист 1c,33
1308,программист 1c,35
1309,специалист по внедрению электронного документооборота,23
1310,специалист по внедрению электронного документооборота,38
1311,специалист по внедрению электронного документооборота,24
1312,руководитель отдела контента,13
1313,руководитель отдела контента,34
1314,руководитель отдела контента,52
1315,руководитель отдела контента,29
1316,руководитель отдела контента,19
1317,руководитель отдела контента,27
1318,специалист по тестированию / qa engineer,1
1319,главный инженер аудио-визуальных систем (аудио/видео),38
1320,главный инженер аудио-визуальных систем (аудио/видео),111
1321,главный инженер аудио-визуальных систем (аудио/видео),33
1322,главный инженер аудио-визуальных систем (аудио/видео),43
1323,администратор салона красоты,91
1324,ведущий специалист по информационной безопасности,94
1325,ведущий специалист по информационной безопасности,47
1326,ведущий специалист по информационной безопасности,112
1327,data scientist,113
1328,data scientist,53
1329,data scientist,18
1330,data scientist,33
1331,data scientist,17
1332,руководитель группы разработки,51
1333,руководитель группы разработки,18
1334,аналитик в отдел стандартизации,114
1335,аналитик в отдел стандартизации,69
1336,аналитик в отдел стандартизации,17
1337,php-программист,18
1338,php-программист,29
1339,php-программист,19
1340,web-дизайнер,18
1341,web-дизайнер,45
1342,web-дизайнер,36
1343,web-дизайнер,37
1344,web-дизайнер,27
1345,senior mobile technologies developer,51
1346,senior mobile technologies developer,18
1347,senior mobile technologies developer,115
1348,программист yii-2 в новосибирске,18
1349,java senior developer,18
1350,senior developer,18
1351,senior developer,48
1352,senior developer,29
1353,senior developer,39
1354,инженер,33
1355,ассистент аналитика,44
1356,ассистент аналитика,1
1357,ассистент аналитика,17
1358,ассистент аналитика,116
1359,ассистент аналитика,44
1360,ассистент аналитика,117
1361,php-разработчик,44
1362,php-разработчик,18
1363,php-разработчик,33
1364,php-разработчик,35
1365,php-разработчик,29
